Czas [s],P1[kPa],P2[[kPa],T[C],F[m^3/h],CV[%],X[%],PV[%]
93,661.0501,339.9267,96.71551,354.2125,35.8486,35.21368,49.25519
94,659.3407,341.3919,96.71551,354.3346,35.2381,35.16484,49.54823
95,652.5031,343.8339,96.71551,354.823,35.8486,34.31013,49.64591
96,664.2247,344.8107,96.71551,356.044,35.89744,34.7497,49.59707
97,662.7595,339.4383,96.73993,354.2125,35.82418,34.84738,49.59707
98,662.0269,340.6593,96.71551,353.3578,35.79976,35.53114,49.27961
99,659.0965,340.1709,96.73993,352.7473,35.45788,35.21368,49.42613
100,660.3175,348.7179,96.71551,353.3578,35.6044,34.35897,49.08425
101,656.6545,342.8571,96.71551,354.823,35.09158,34.70086,49.49939
102,655.9219,341.3919,96.71551,355.6777,35.6044,34.60318,49.03541
103,655.4335,339.6825,96.73993,355.9219,35.04274,34.55434,49.59707
104,658.1197,338.7057,96.71551,356.2882,35.87302,34.57876,49.54823
105,659.8291,342.8571,96.73993,356.044,35.79976,35.18926,50.18315
106,665.2015,330.6471,96.69109,353.1136,36.75214,35.16484,49.91453
107,669.1087,332.6007,96.71551,349.6948,36.337,35.75092,50.28083
108,667.8877,332.6007,96.71551,346.7643,36.99634,36.28816,50.32967
109,675.4579,330.1587,96.69109,345.6654,36.99634,35.89744,50.50061
110,672.5275,328.9377,96.71551,343.4676,37.41148,36.28816,50.62271
111,678.6325,315.9951,96.71551,341.6361,37.4359,36.60562,50.42735
112,675.4579,331.3797,96.71551,340.293,37.14286,36.60562,50.40293
113,673.2601,323.8095,96.69109,339.8046,37.14286,36.75214,49.62149
114,667.1551,322.5885,96.73993,341.8803,35.99512,35.99512,49.84127
115,667.6435,327.9609,96.69109,345.4212,36.41026,35.45788,49.47497
116,664.2247,330.8913,96.69109,346.5201,35.87302,35.14042,50.01221
117,663.4921,328.4493,96.69109,347.8632,36.60562,35.16484,49.67033
118,663.7363,330.1587,96.69109,348.3516,36.14164,35.62882,49.98779
119,664.7131,337.7289,96.69109,348.5958,36.63004,35.33578,49.47497
120,669.1087,334.5543,96.73993,347.7411,35.8486,35.82418,49.74359
121,667.6435,337.2405,96.69109,347.1306,36.23932,35.65324,49.37729
122,661.2943,342.3687,96.71551,348.2295,35.70208,35.21368,49.47497
123,659.0965,334.0659,96.69109,350.7937,35.8486,34.92064,49.45055
124,660.5617,340.6593,96.71551,351.7705,35.75092,35.09158,49.54823
125,664.4689,335.2869,96.71551,352.0147,35.94628,34.9939,49.49939
126,662.0269,333.8217,96.71551,351.6484,35.82418,35.62882,49.03541
127,664.2247,340.9035,96.71551,350.9158,35.18926,35.06716,49.45055
128,658.3639,340.1709,96.71551,351.7705,35.8486,34.94506,49.15751
129,659.5849,341.3919,96.71551,353.602,35.31136,34.65202,49.54823
130,661.0501,339.1941,96.71551,354.2125,35.94628,34.7497,49.40171
131,661.7827,339.9267,96.73993,354.4567,35.75092,35.21368,49.89011
132,663.0037,331.1355,96.71551,352.7473,36.55678,35.06716,49.86569
133,669.8413,329.4261,96.71551,350.3053,36.4591,35.67766,50.08547
134,672.2833,331.6239,96.71551,347.8632,36.80098,35.82418,49.52381
135,670.3297,331.1355,96.73993,347.1306,35.99512,36.31258,49.71917
136,667.6435,333.0891,96.71551,345.9096,36.19048,35.4823,49.93895
137,667.3993,332.1123,96.73993,346.2759,36.53236,35.38462,50.08547
138,666.1783,327.2283,96.73993,347.3748,36.75214,35.40904,49.93895
139,670.8181,324.2979,96.71551,346.7643,36.7033,35.82418,49.52381
140,671.5507,329.6703,96.73993,345.7875,36.04396,35.75092,49.59707
141,664.7131,342.1245,96.73993,345.2991,36.0928,35.6044,49.03541
142,656.8987,338.9499,96.73993,348.3516,35.16484,35.04274,49.23077
143,653.9683,350.9158,96.73993,353.602,35.65324,34.5055,49.01099
144,653.4799,347.7411,96.73993,355.1893,35.14042,34.77412,49.25519
145,658.3639,341.3919,96.71551,356.5324,35.62882,34.96948,48.54701
146,654.4567,345.2991,96.71551,356.6545,34.60318,34.43223,48.93773
147,653.2357,349.939,96.73993,356.8987,35.09158,34.60318,48.76679
148,649.8169,344.3223,96.71551,358.3639,34.94506,34.21245,49.27961
149,651.0379,347.2527,96.71551,359.0965,35.50672,34.21245,49.37729
150,657.6313,333.0891,96.73993,358.9744,35.70208,34.57876,49.32845
151,663.9805,336.7521,96.71551,356.044,35.70208,34.89622,49.30403
152,661.2943,344.3223,96.71551,354.4567,35.75092,35.116,49.35287
153,658.3639,338.4615,96.71551,353.602,35.65324,35.33578,49.40171
154,661.0501,343.5897,96.73993,353.4799,35.79976,35.4823,48.96215
155,655.9219,347.9853,96.71551,353.602,35.04274,34.57876,49.67033
156,651.5263,344.5665,96.71551,355.0672,36.19048,34.60318,49.32845
157,662.5153,344.0781,96.71551,356.044,35.77534,34.67644,49.89011
158,668.8645,332.3565,96.71551,354.0904,36.28816,35.18926,49.54823
159,670.5739,338.9499,96.71551,349.8169,36.31258,35.31136,50.03663
160,668.6203,328.2051,96.73993,348.7179,36.5812,35.62882,49.74359
161,667.6435,336.0195,96.73993,347.3748,36.4591,35.6044,49.84127
162,673.0159,336.0195,96.73993,346.7643,36.38584,35.43346,49.47497
163,669.8413,340.4151,96.73993,346.398,35.99512,35.6044,49.52381
164,663.2479,340.9035,96.73993,346.7643,35.99512,34.9939,49.64591
165,660.8059,344.0781,96.71551,349.5727,35.94628,35.09158,49.49939
166,662.5153,340.1709,96.71551,351.16,35.89744,35.16484,49.42613
167,660.0733,333.3333,96.73993,350.9158,35.7265,34.82296,48.98657
168,665.9341,338.2173,96.69109,350.6716,35.28694,35.38462,49.08425
169,656.6545,348.2295,96.73993,351.4042,34.9939,34.84738,48.74237
170,649.5727,349.6948,96.73993,355.1893,35.31136,34.55434,49.47497
171,649.0842,346.5201,96.71551,357.7534,35.9707,34.33455,49.57265
172,660.5617,340.6593,96.71551,358.8523,36.53236,34.79854,50.23199
173,668.3761,333.3333,96.73993,353.7241,36.337,35.6044,49.62149
174,671.3065,329.9145,96.76435,348.3516,35.94628,35.77534,49.52381
175,667.6435,337.2405,96.73993,345.9096,35.75092,36.01954,49.18193
176,656.8987,337.2405,96.71551,347.3748,35.67766,35.50672,49.49939
177,657.3871,339.9267,96.71551,352.0147,36.23932,34.7497,49.79243
178,660.0733,336.2637,96.71551,352.9915,36.43468,34.89622,49.93895
179,669.3529,327.2283,96.71551,351.8926,36.67888,35.6044,49.98779
180,667.1551,324.7863,96.71551,348.2295,35.82418,35.77534,49.40171
181,670.0855,329.9145,96.71551,346.8864,35.70208,35.55556,49.20635
182,663.9805,332.8449,96.71551,346.398,34.65202,35.75092,48.44933
183,658.3639,337.4847,96.71551,348.3516,34.7497,34.9939,48.69353
184,651.2821,348.4737,96.71551,355.1893,34.11477,33.94383,48.25397
185,642.9792,350.1832,96.71551,359.3407,34.67644,34.21245,48.88889
186,643.7118,343.8339,96.71551,362.7595,34.67644,33.50427,48.62027
187,650.5495,343.8339,96.73993,363.9805,34.72528,34.18803,48.71795
188,649.8169,341.6361,96.71551,362.8816,34.55434,34.21245,48.47375
189,649.8169,349.4505,96.73993,362.149,34.79854,34.01709,48.86447
190,650.0611,343.1013,96.71551,361.6606,35.53114,33.62637,49.05983
191,652.5031,345.2991,96.71551,361.7827,35.45788,33.94383,49.15751
192,657.1429,339.1941,96.71551,360.5617,35.55556,34.6276,49.23077
193,658.3639,343.3455,96.71551,357.0208,35.14042,34.60318,49.01099
194,654.9451,336.2637,96.71551,356.1661,35.67766,34.84738,49.27961
195,657.1429,341.1477,96.71551,355.9219,35.45788,34.65202,49.08425
196,655.1893,337.7289,96.73993,356.044,36.0928,34.38339,49.52381
197,660.5617,331.8681,96.71551,355.5556,35.45788,34.82296,49.18193
198,663.9805,335.2869,96.71551,353.1136,35.62882,35.09158,49.42613
199,661.0501,340.4151,96.73993,352.2589,34.94506,35.09158,48.81563
200,653.4799,346.2759,96.73993,353.3578,35.62882,34.43223,49.37729
201,658.1197,342.6129,96.71551,355.9219,36.19048,34.23687,49.59707
202,659.3407,335.7753,96.71551,356.8987,36.26374,34.67644,49.79243
203,665.6899,338.2173,96.73993,353.7241,36.01954,35.57998,49.52381
204,661.5385,336.2637,96.73993,350.0611,35.70208,35.53114,49.47497
205,662.2711,336.5079,96.73993,349.3284,36.48352,35.62882,49.91453
206,662.5153,337.2405,96.73993,349.5727,36.50794,35.2381,49.93895
207,667.6435,334.5543,96.73993,350.3053,36.9475,35.4823,50.06105
208,672.0391,331.1355,96.71551,347.7411,35.82418,36.11722,49.35287
209,675.2137,329.9145,96.71551,344.6886,36.28816,36.19048,49.81685
210,667.1551,341.3919,96.71551,343.7118,36.23932,35.7265,49.71917
211,667.3993,334.0659,96.73993,347.0085,36.9475,35.43346,50.03663
212,668.1319,331.8681,96.71551,347.619,35.9707,35.53114,49.30403
213,670.3297,333.5775,96.71551,347.3748,35.70208,35.4823,49.32845
214,664.7131,336.7521,96.73993,347.0085,35.01832,35.50672,48.66911
215,660.0733,340.4151,96.71551,349.0842,34.94506,35.01832,48.88889
216,650.5495,347.0085,96.73993,353.8462,35.18926,34.72528,48.93773
217,651.2821,353.8462,96.73993,357.1429,35.09158,33.91941,49.01099
218,652.2589,342.8571,96.73993,358.7302,35.40904,34.28571,49.08425
219,658.3639,347.0085,96.73993,358.8523,34.92064,33.94383,48.91331
220,655.1893,342.8571,96.71551,358.6081,35.65324,34.65202,49.25519
221,655.6777,345.0549,96.73993,357.7534,35.18926,34.09035,49.13309
222,657.1429,346.5201,96.76435,357.0208,36.04396,34.92064,49.52381
223,663.2479,341.8803,96.73993,356.7766,35.92186,34.70086,49.42613
224,659.5849,340.4151,96.73993,354.7009,36.99634,35.38462,50.32967
225,669.8413,337.9731,96.73993,351.5263,36.80098,35.116,50.08547
226,671.7949,324.5421,96.73993,346.6422,37.04518,36.01954,50.32967
227,673.7485,331.8681,96.73993,344.0781,36.26374,36.11722,49.62149
228,674.2369,331.1355,96.71551,343.5897,35.8486,36.50794,49.54823
229,669.1087,332.8449,96.73993,343.4676,35.70208,35.7265,49.20635
230,661.5385,341.3919,96.73993,347.0085,35.75092,35.3602,49.45055
231,659.5849,340.6593,96.73993,351.0379,36.80098,34.7497,50.08547
232,666.9109,338.7057,96.71551,351.7705,36.9475,34.84738,50.08547
233,670.3297,327.2283,96.71551,351.7705,36.99634,35.45788,50.10989
234,675.7021,328.4493,96.71551,346.2759,36.50794,36.43468,49.89011
235,675.2137,328.6935,96.71551,343.2234,36.84982,36.337,49.86569
236,675.2137,328.6935,96.71551,343.2234,36.84982,36.337,49.86569
237,674.9695,325.0305,96.73993,342.6129,35.8486,36.2149,49.30403
238,665.4457,340.9035,96.73993,344.6886,36.28816,35.87302,49.69475
239,661.2943,336.2637,96.73993,347.3748,35.75092,35.16484,49.10867
240,666.6667,339.1941,96.73993,348.84,35.8486,35.28694,49.25519
241,659.0965,341.3919,96.73993,349.3284,35.3602,35.26252,48.79121
242,657.1429,344.5665,96.73993,350.0611,35.3602,34.94506,49.18193
243,657.3871,347.2527,96.73993,353.8462,35.3602,34.70086,48.86447
244,653.2357,342.3687,96.73993,355.4335,35.18926,34.13919,49.15751
245,652.7473,344.3223,96.71551,356.2882,36.11722,34.40781,49.59707
246,655.9219,340.6593,96.73993,357.0208,36.50794,34.5055,50.01221
247,663.0037,331.3797,96.71551,355.7998,36.84982,35.55556,50.03663
248,675.2137,329.1819,96.73993,349.5727,35.79976,35.82418,49.35287
249,671.5507,333.3333,96.73993,345.9096,36.28816,35.82418,49.52381
250,668.6203,336.9963,96.73993,345.2991,35.6044,36.11722,49.15751
251,658.3639,340.4151,96.76435,347.9853,35.99512,34.70086,49.37729
252,661.5385,348.4737,96.73993,351.8926,34.84738,34.57876,48.62027
253,661.2943,339.1941,96.73993,352.1368,35.33578,34.96948,49.08425
254,660.8059,342.6129,96.71551,352.9915,35.04274,34.60318,48.66911
255,651.2821,336.0195,96.73993,355.1893,35.16484,34.40781,49.20635
256,653.7241,335.7753,96.71551,357.265,35.75092,34.26129,49.20635
257,655.1893,332.8449,96.73993,358.3639,36.0928,34.23687,49.91453
258,662.0269,330.8913,96.71551,356.5324,37.14286,34.8718,49.96337
259,673.0159,322.5885,96.73993,350.0611,36.337,35.89744,49.84127
260,671.3065,325.2747,96.73993,346.398,36.14164,35.94628,49.40171
261,665.6899,329.9145,96.71551,344.6886,35.31136,36.16606,48.96215
262,661.5385,343.5897,96.71551,346.6422,35.8486,35.33578,49.35287
263,658.6081,338.2173,96.73993,350.5495,35.43346,34.89622,49.20635
264,656.6545,334.5543,96.73993,352.9915,36.19048,34.28571,49.40171
265,655.1893,333.0891,96.73993,354.2125,35.04274,35.01832,48.74237
266,658.6081,342.8571,96.73993,354.2125,35.21368,34.77412,49.05983
267,654.9451,337.9731,96.73993,354.4567,34.60318,34.65202,48.42491
268,650.5495,355.0672,96.73993,357.3871,34.70086,33.60195,49.01099
269,645.6654,354.5788,96.71551,361.2943,35.6044,33.43101,49.40171
270,652.7473,343.8339,96.73993,363.0037,36.31258,33.57753,49.89011
271,663.9805,331.8681,96.73993,360.3175,36.53236,34.92064,49.54823
272,671.7949,329.1819,96.73993,352.5031,35.79976,35.75092,49.37729
273,669.1087,335.2869,96.73993,349.0842,35.79976,35.8486,49.27961
274,665.9341,339.6825,96.73993,347.619,35.4823,35.33578,49.25519
275,657.3871,346.7643,96.71551,349.8169,35.9707,34.8718,49.40171
276,655.1893,339.9267,96.73993,353.3578,35.14042,34.89622,48.88889
277,661.5385,346.5201,96.71551,354.823,35.55556,34.82296,49.15751
278,659.0965,346.2759,96.73993,355.0672,34.92064,34.55434,48.79121
279,655.6777,351.8926,96.73993,354.823,35.6044,35.2381,49.32845
280,652.2589,349.6948,96.73993,355.7998,35.6044,34.23687,49.10867
281,661.2943,335.7753,96.73993,356.044,35.75092,34.52992,49.52381
282,656.8987,344.8107,96.71551,354.9451,35.89744,34.6276,49.10867
283,662.0269,345.2991,96.73993,354.2125,35.6044,34.8718,49.47497
284,661.5385,342.3687,96.73993,353.2357,36.06838,35.53114,49.40171
285,660.5617,338.9499,96.71551,353.2357,35.89744,34.94506,49.45055
286,665.4457,332.6007,96.73993,352.8694,35.75092,35.26252,49.08425
287,661.7827,340.4151,96.76435,352.0147,34.57876,34.57876,48.66911
288,664.4689,342.1245,96.73993,351.7705,35.18926,34.9939,48.98657
289,654.9451,348.9621,96.71551,353.7241,34.84738,34.21245,49.01099
290,650.5495,347.2527,96.73993,357.7534,36.19048,34.21245,49.57265
291,650.0611,347.4969,96.71551,360.0733,36.14164,33.84615,49.59707
292,663.4921,338.9499,96.73993,357.9976,36.65446,34.82296,49.67033
293,671.0623,333.3333,96.73993,352.6252,35.70208,35.6044,49.13309
294,672.7717,340.9035,96.76435,347.9853,35.70208,35.8486,49.23077
295,664.4689,343.1013,96.73993,347.7411,35.06716,35.26252,48.57143
296,658.3639,339.6825,96.73993,350.3053,34.7497,34.94506,48.79121
297,651.0379,352.8694,96.73993,355.0672,34.96948,34.45665,48.54701
298,651.5263,350.4274,96.71551,359.5849,34.60318,34.06593,48.71795
299,650.5495,351.6484,96.73993,360.928,34.7497,34.13919,48.49817
300,650.0611,349.6948,96.76435,361.2943,34.21245,33.79731,48.30281
301,643.2234,347.0085,96.76435,361.7827,34.70086,34.11477,48.54701
302,645.9096,357.5092,96.73993,363.7363,34.16361,33.65079,48.47375
303,644.2002,356.044,96.73993,364.4689,34.60318,33.77289,48.66911
304,647.3748,352.381,96.73993,365.0794,34.26129,33.57753,48.32723
305,649.3284,351.16,96.71551,363.9805,34.55434,33.67521,48.69353
306,646.6422,348.2295,96.73993,363.9805,34.31013,33.67521,48.25397
307,646.1538,354.3346,96.73993,364.591,34.60318,33.08913,48.84005
308,646.1538,357.265,96.71551,365.4457,34.9939,33.50427,48.71795
309,650.7937,346.2759,96.71551,364.4689,35.04274,34.06593,49.05983
310,652.5031,351.4042,96.71551,361.7827,34.9939,34.43223,48.66911
311,653.7241,339.9267,96.73993,360.928,34.65202,34.26129,48.88889
312,653.7241,353.602,96.73993,360.6838,35.21368,34.31013,48.59585
313,649.3284,349.4505,96.71551,360.4396,34.26129,34.04151,48.69353
314,648.84,344.8107,96.76435,360.4396,34.9939,34.06593,48.76679
315,647.3748,347.7411,96.73993,360.6838,34.45665,34.18803,48.64469
316,646.8864,351.8926,96.73993,361.4164,35.09158,33.91941,48.96215
317,651.2821,353.1136,96.76435,362.0269,34.43223,33.47985,48.57143
318,651.2821,350.6716,96.73993,362.0269,35.01832,33.99267,48.98657
319,650.0611,345.0549,96.73993,362.2711,35.04274,34.28571,48.86447
320,654.2125,346.2759,96.73993,361.2943,35.3602,34.26129,49.23077
321,656.1661,341.1477,96.73993,360.4396,34.89622,34.9939,48.66911
322,658.8523,348.9621,96.76435,358.3639,34.84738,34.45665,49.18193
323,651.7705,353.602,96.73993,358.3639,35.53114,34.26129,49.03541
324,649.0842,347.7411,96.73993,359.5849,35.38462,34.26129,49.52381
325,657.3871,349.939,96.73993,359.9512,35.6044,34.31013,49.32845
326,662.7595,338.7057,96.73993,356.2882,35.26252,34.5055,49.40171
327,658.6081,341.3919,96.73993,354.4567,35.9707,34.92064,49.59707
328,659.3407,345.2991,96.76435,354.823,35.6044,35.01832,49.57265
329,660.5617,337.9731,96.73993,354.823,36.41026,34.84738,49.79243
330,665.2015,324.0537,96.76435,352.9915,36.0928,35.14042,49.71917
331,666.9109,321.8559,96.73993,349.6948,36.65446,35.57998,49.79243
332,667.6435,321.3675,96.76435,348.4737,35.75092,34.9939,49.27961
333,668.6203,330.4029,96.76435,348.1074,36.16606,35.57998,49.81685
334,665.2015,330.6471,96.73993,347.4969,35.99512,35.4823,49.54823
335,663.0037,334.0659,96.71551,349.3284,36.36142,35.18926,50.10989
336,664.4689,328.6935,96.71551,350.4274,36.5812,35.31136,49.91453
337,671.3065,330.4029,96.69109,349.5727,36.67888,35.89744,50.06105
338,672.7717,329.1819,96.71551,347.0085,36.43468,36.36142,49.54823
339,673.5043,333.3333,96.71551,346.2759,35.6044,36.337,49.54823
340,662.7595,338.4615,96.73993,346.5201,35.75092,35.6044,49.32845
341,658.6081,341.3919,96.73993,348.9621,35.6044,35.09158,49.52381
342,657.1429,342.1245,96.76435,351.8926,36.41026,34.8718,49.86569
343,662.2711,338.9499,96.73993,353.3578,36.60562,34.84738,50.01221
344,671.0623,332.1123,96.73993,352.2589,36.75214,35.53114,49.74359
345,672.5275,334.0659,96.73993,346.8864,35.40904,36.16606,49.18193
346,672.7717,331.6239,96.76435,345.4212,35.8486,35.70208,49.45055
347,660.8059,334.3101,96.73993,345.6654,35.40904,35.50672,49.08425
348,657.3871,347.9853,96.73993,348.84,35.8486,34.89622,49.59707
349,658.3639,342.3687,96.76435,354.0904,35.8486,34.77412,49.30403
350,665.9341,335.5311,96.71551,354.9451,36.11722,35.01832,49.93895
351,663.9805,335.2869,96.76435,352.7473,36.65446,35.16484,49.86569
352,673.5043,329.1819,96.73993,350.0611,36.72772,35.28694,50.32967
353,673.2601,332.3565,96.76435,346.0317,36.99634,36.11722,49.93895
354,672.7717,329.9145,96.73993,345.4212,36.31258,35.99512,49.74359
355,673.0159,337.4847,96.76435,344.5665,36.06838,35.89744,49.30403
356,667.3993,336.7521,96.76435,344.6886,35.14042,35.53114,49.30403
357,656.4103,341.3919,96.78877,347.7411,35.65324,34.77412,49.18193
358,659.0965,340.1709,96.73993,352.7473,34.9939,34.70086,48.93773
359,653.9683,346.7643,96.76435,354.823,35.38462,34.43223,49.05983
360,655.6777,344.0781,96.76435,357.1429,34.77412,34.5055,48.64469
361,654.7009,342.8571,96.78877,357.8755,35.2381,34.55434,48.91331
362,654.2125,348.4737,96.76435,358.2418,34.31013,34.48107,48.27839
363,648.84,345.2991,96.73993,359.2186,34.70086,33.99267,48.79121
364,647.8632,349.939,96.76435,361.1722,34.7497,33.65079,48.79121
365,646.398,346.5201,96.73993,362.0269,35.28694,33.69963,49.30403
366,654.4567,348.7179,96.76435,361.9048,35.28694,34.11477,48.84005
367,659.3407,340.4151,96.73993,360.0733,35.09158,34.40781,49.35287
368,654.2125,335.7753,96.76435,357.6313,35.70208,34.79854,49.23077
369,659.3407,346.5201,96.78877,357.5092,35.70208,34.67644,49.64591
370,664.7131,342.1245,96.76435,356.5324,36.04396,34.92064,49.35287
371,662.7595,341.6361,96.76435,353.9683,35.40904,35.18926,49.37729
372,664.9573,336.7521,96.76435,351.7705,35.99512,35.43346,49.37729
373,661.5385,341.6361,96.76435,351.5263,35.28694,35.01832,49.13309
374,657.3871,350.4274,96.73993,352.381,35.43346,34.8718,48.93773
375,653.9683,347.4969,96.76435,354.823,34.35897,34.60318,48.49817
376,654.2125,350.1832,96.78877,356.7766,35.18926,34.09035,49.01099
